chr1	1009285	1209285	+	TTLL10	1109285
chr1	1524243	1724243	-	SLC35E2B	1624243
chr1	1746265	1946265	+	CALML6	1846265
chr1	1850767	2050767	+	GABRD	1950767
chr1	2606230	2806230	-	TTC34	2706230
chr1	2885741	3085741	+	PRDM16	2985741
chr1	3428059	3628059	-	MEGF6	3528059
chr1	3469128	3669128	+	TP73	3569128
chr1	3673797	3873797	-	CEP104	3773797
chr1	6379979	6579979	-	HES2	6479979
chr1	6540062	6740062	+	ZBTB48	6640062
chr1	6745383	6945383	+	CAMTA1	6845383
chr1	8777699	8977699	-	RERE	8877699
chr1	8839151	9039151	-	ENO1	8939151
chr1	8986404	9186404	-	SLC2A7	9086404
chr1	9029887	9229887	-	SLC2A5	9129887
chr1	9902840	10102840	-	LZIC	10002840
chr1	9903485	10103485	+	NMNAT1	10003485
chr1	12706162	12906162	+	C1orf158	12806162
chr1	13740242	13940242	-	LRRC38	13840242
chr1	14825212	15025212	+	KAZN	14925212
chr1	15683222	15883222	+	CELA2A	15783222
chr1	15702595	15902595	+	CELA2B	15802595
chr1	16300127	16500127	-	FAM131C	16400127
chr1	16663919	16863919	-	SPATA21	16763919
chr1	17207173	17407173	-	MFAP2	17307173
chr1	17475592	17675592	+	PADI3	17575592
chr1	19538640	19738640	-	AKR7A2	19638640
chr1	20944317	21144317	-	KIF17	21044317
chr1	22038757	22238757	+	LDLRAD2	22138757
chr1	25459013	25659013	-	SYF2	25559013
chr1	26637268	26837268	+	LIN28A	26737268
chr1	27601315	27801315	-	FCN3	27701315
chr1	27619147	27819147	+	GPR3	27719147
chr1	27716678	27916678	-	WASF2	27816678
chr1	27830143	28030143	-	AHDC1	27930143
chr1	28664660	28864660	+	PHACTR4	28764660
chr1	28808383	29008383	-	SNHG12	28908383
chr1	31130683	31330683	-	LAPTM5	31230683
chr1	31612734	31812734	-	NKAIN1	31712734
chr1	31983300	32183300	+	HCRTR1	32083300
chr1	32727844	32927844	-	FAM229A	32827844
chr1	32727861	32927861	+	TSSK3	32827861
chr1	32830657	33030657	+	ZBTB8B	32930657
chr1	32904771	33104771	+	ZBTB8A	33004771
chr1	33183633	33383633	-	YARS	33283633
chr1	33238082	33438082	-	FNDC5	33338082
chr1	35158598	35358598	+	GJA4	35258598
chr1	36084790	36284790	-	C1orf216	36184790
chr1	36449675	36649675	+	TEKT2	36549675
